,text,screenName,retweetCount,isRetweet
37,#dinner #brooklyn @ Jolie Cantina https://t.co/pdEhyCkMtj,YaleGurney,0,FALSE
38,RT @francisbonnet: Anti-social. #suburbanfairytales #funny #comicl #fairytales #dating #cartoon #threelittlepigs #dinner https://t.co/ovXwP…,Mbtoon05,2,TRUE
39,Is this #macandcheese with shrimp <ed><U+00A0><U+00BC><ed><U+00BD><U+00A4>?! Delicious ! #dinner #deliciousfood #eatlocal #thursday #beerbar #jerseycity… https://t.co/HyEFnEXlmj,TheIronMonkey,0,FALSE
40,I had so much fun last night with @chefcasella at his very special #prosciutto dinner at #chelsealocal in… https://t.co/FvOZifcg3x,ChefMariaLoi,1,FALSE
41,Our slaw and sauces make excellent additions to soups <ed><U+00A0><U+00BC><ed><U+00BD><U+00B2> #Soup #Dinner #Winter https://t.co/8YomUFVxWC,BAOFoodandDrink,0,FALSE
42,"Burnt Carrots with Honey, Black Pepper, Butter &amp; Almonds. YUM! YUM!  #Dinner #SixSeasons https://t.co/BmGcM8iAwu https://t.co/eLoNtQzPIE",WorkmanPub,0,FALSE
43,Dive in for #dinner or drop by for a #drink at any of our 5 locations: https://t.co/kriGaexgA7 https://t.co/hgXm6JXmoI,DosCaminos,0,FALSE
44,#hungry ? #dinner at #tiffany s #tiffanyandco #whomyouknow #rockyourbody #fashion #alert… https://t.co/fxmi2rKG9g,Manhattanpeachy,0,FALSE
45,Ever wondered what the appropriate #attire is for #dinner cruises? Here's a helpful guide for you.… https://t.co/qoFXVBHHRx,Y4AS_NYC,0,FALSE
46,"Which is your favorite #meal of the day? #BREAKFAST, #LUNCH or #DINNER? Tell me in the #comments… https://t.co/uXm8vAgwQc",your_smmpro,0,FALSE
47,"@MrMecc @MrMecc That looks delicious! On a scale of 1-10, how tasty was your #dinner?",LayalyCafeNY,0,FALSE
48,"https://t.co/SKl8coA4Yf
#Pasta is always a fan favorite for #lunch or #dinner!  Try our #chicken and #broccoli #recipe!",GoHealthyRoot,0,FALSE
49,Love Romano's Macaroni Grill? Get $50 Free Lyft ride credit to get there free. Use Lyft Promo Code: NUMB #munch #food #takeout #dinner,SpunkyHotDeals,0,FALSE
50,"The Savor Health Holiday dinner was underway last evening!  What a treat to get everyone in the same room, enjoying… https://t.co/TNAVHn5xBI",savor_health,0,FALSE
51,Struggling for #dinner tonight? We may have the perfect recipe for you #ThursdayThoughts https://t.co/pQfuB1Wa4T https://t.co/CDWcF3IbP9,Top_Supplement,0,FALSE
52,Love The Melting Pot? Get $50 Free Lyft ride credit to get there free. Use Lyft Code: OATH #munch #food #takeout #dinner,SpunkyHotDeals,0,FALSE
53,RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…,derivativestech,38,TRUE
54,RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…,FrancisEdwin14,38,TRUE
55,RT @SpunkyHotDeals: Love East of Chicago Pizza? Get there free w/ Lyft! $50 Free Lyft credit. Use Lyft Coupon Code: DEX #dinner #food #rest…,cityfoodbot,1,TRUE
56,Love East of Chicago Pizza? Get there free w/ Lyft! $50 Free Lyft credit. Use Lyft Coupon Code: DEX #dinner #food #restaurant #date,SpunkyHotDeals,1,FALSE
57,"Hold my calls...
#Bruh #DontEvenTalkToMe #ImFINENow #Dinner #Winner #FoodPorn #FatBoyJoy… https://t.co/5awlWk3VbK",MrMecc,0,FALSE
58,"the 2 end pieces that are left, peanut butter, pumpkin pear jam, and homemade caramel #dinner #roommateisadessertchef",savvyg,0,FALSE
59,"RT @zioristorante: Double cut ribeye. Oh, my. #steak #dinner #nyc #italianfood https://t.co/thgPtHOYmG",SaraDISHnyc,1,TRUE
60,Love Popeyes Chicken &amp; Biscuits? Get $50 Free Lyft ride credit to get there free. Use Lyft Coupon Code: DEX #outtoeat #dinner #weekend #date,SpunkyHotDeals,0,FALSE
61,#aws #startup #founders #dinner #ftw! @ Pera Soho https://t.co/mtNGWXTmBh,nothingGrinder,0,FALSE
62,Because eating #healthy is a form of self respect!<ed><U+00A0><U+00BD><ed><U+00B8><U+0089> My yummy #dinner <ed><U+00A0><U+00BD><ed><U+00B8><U+008B> #stuffedpepper #brownrice… https://t.co/y1cxkSAWFm,Jahypimentel,0,FALSE
63,Love me some alphabet <ed><U+00A0><U+00BE><ed><U+00B5><U+00A3> <ed><U+00A0><U+00BD><ed><U+00B8><U+008B> #warmandcozy #dinner #picoftheday #foodporn #soup #inmybelly #photo… https://t.co/IPHU7n8vJq,MaryGenevaNYC,0,FALSE
